sno,state,district,faclty_nam,category,type,Facility_i,iso_minus_,iso_confm_,iso_suspec,o2suported,total_icu,ventilator,o2_manifol,PPE,N95,bio_med_wa
1,Maharashtra,AHMEDNAGAR,"AIIMS Hospital
Ahmednagar,Pin- 414001",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,12993,60,50,10,24,24,3,1,50,70,1
2,Maharashtra,AHMEDNAGAR,"DISTRICT HOSPITAL AHMEDNAGAR,Pin- 414001",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,13946,700,500,200,38,20,8,1,1815,888,1
3,Maharashtra,AHMEDNAGAR,"Booth Hospital
Ahmednagar,Pin-
414001",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,11202,30,30,0,7,7,2,1,76,168,1
4,Maharashtra,AHMEDNAGAR,MH,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",16225,100,43,57,43,15,5,0,0,0,1
5,Maharashtra,AKOLA,"Govt Medical College, Akola",Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",10475,172,122,50,100,30,10,1,2522,4395,1
6,Maharashtra,AKOLA,"OZONE Hospital,
Akola","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",14979,80,30,50,30,20,10,1,30,150,1
7,Maharashtra,AKOLA,"ICON Hospital, Akola","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",14973,110,50,60,50,40,20,1,50,200,1
8,Maharashtra,AMRAVATI,"Regional Referral
Services Hospital Amravati",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,15261,100,90,10,40,40,20,1,2060,95,1
9,Maharashtra,AMRAVATI,Panjabrao Deshmukh Medical College Amravati,Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,15905,180,90,90,20,10,5,1,260,130,1
10,Maharashtra,AMRAVATI,"Sub District Hospital
Achalpur","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",13870,35,15,20,15,15,4,1,15,100,1
11,Maharashtra,AMRAVATI,Dhole Homoeopathic College Amravati,Cat. I - Dedicated COVID Hospitals / DCH,"Private
Medical College",17472,90,40,50,30,10,10,1,10,10,1
12,Maharashtra,AURANGABAD,"Dhoot Hospital
(Proposed
Emergency) Aurangabad",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,18268,150,75,75,50,25,8,1,10,695,1
13,Maharashtra,AURANGABAD,"MGM College
Hospital (Proposed)Aurangab ad",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,18265,100,50,50,75,25,20,1,2740,700,1
14,Maharashtra,BEED,SRTR GMC Ambajogai,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",11243,220,120,100,30,30,3,1,2230,2600,1
15,Maharashtra,BEED,"Womens Hospital
Ambajogai","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",15389,135,95,40,50,15,1,1,10,50,1
16,Maharashtra,BEED,DH Beed,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11211,200,150,50,60,50,2,1,2159,2678,1
17,Maharashtra,BHANDARA,"Covid Hospital ( New MCH Wing Building) , General Hospital
Campus, Bhandara",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,14783,197,100,97,58,25,8,1,696,3734,1
18,Maharashtra,BULDHANA,"Laddhad Hospital,
Buldana","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15868,35,15,20,15,15,5,1,15,25,1
19,Maharashtra,BULDHANA,GH Khamgaon,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11309,40,20,20,20,10,3,0,267,299,1
20,Maharashtra,BULDHANA,"Multispeciality
Hospital Mehkar","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15818,90,45,45,10,10,1,1,19,30,1
21,Maharashtra,BULDHANA,"Rite Care Hospital
Malkapur","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15817,40,10,30,5,10,1,1,15,20,1
22,Maharashtra,BULDHANA,"Life Line Hospital
Khamgaon","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15816,40,20,20,20,20,3,1,0,10,1
23,Maharashtra,BULDHANA,"Womens Hospital,
New Building, Buldhana",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,13885,80,40,40,40,20,8,0,40,90,1
24,Maharashtra,BULDHANA,"Silvercity Hospital
Khamgaon","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15882,80,30,50,20,20,2,1,8,15,1
25,Maharashtra,BULDHANA,"Aashirwad Hospital
Buldana","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15877,40,10,30,10,10,2,1,11,16,1
26,Maharashtra,BULDHANA,"Mehtre Hospital
Buldhana","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15873,40,20,20,10,10,2,1,15,11,1
27,Maharashtra,BULDHANA,SDH Shegaon,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11310,40,20,20,10,10,1,0,497,1122,1
28,Maharashtra,CHANDRAPUR,"Government Medical College & Hospital, Chandrapur",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,11622,128,48,80,60,32,12,1,1483,5880,1
29,Maharashtra,CHANDRAPUR,"Manvatkar Multi
Specialty Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15753,45,17,28,20,10,6,1,50,150,1
30,Maharashtra,CHANDRAPUR,"Christ Charitable
Hospital (100 Bedeed)",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,12584,54,13,41,26,8,7,1,409,1234,1
31,Maharashtra,CHANDRAPUR,"Shivji Hospital & Eeg Center, Chandrapur",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,17655,60,20,40,29,13,10,1,50,130,1
32,Maharashtra,DHULE,"Shri Bhausaheb Hire Government Medical College, Dhule",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,11298,180,80,100,33,26,6,1,2072,1422,1
33,Maharashtra,GADCHIROLI,DH Gadchiroli,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11476,180,90,90,180,25,19,1,449,404,1
34,Maharashtra,GADCHIROLI,GNM Nursing School DH Gadchiroli,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,19012,200,100,100,33,0,10,1,86,55,1
35,Maharashtra,GONDIA,"GMC & KTS Hospital
Gondia","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",15735,91,25,66,91,9,9,1,4700,1372,1
36,Maharashtra,GONDIA,"Central Hospital
Gondia","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15730,70,25,45,15,10,9,1,10,10,1
37,Maharashtra,HINGOLI,"corona hospital near
bus stand","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",22416,90,45,45,90,10,20,1,500,1000,1
38,Maharashtra,HINGOLI,"District Hospital,
Hingoli","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",10480,90,45,45,0,10,10,1,11500,12000,1
39,Maharashtra,JALGAON,"Ruby Hospital, Jalgaon Corporation,
Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21749,28,14,14,10,7,2,0,5,5,1
40,Maharashtra,JALGAON,"Government Medical College, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",14933,274,186,88,74,24,10,1,4804,5133,1
41,Maharashtra,JALGAON,"Ashirwad Critical Centre, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21748,8,4,4,5,3,1,0,5,5,1
42,Maharashtra,JALGAON,SDH Chopda,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",15851,90,20,70,10,10,1,1,5,120,1
43,Maharashtra,JALGAON,"Chinmay Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21747,18,9,9,4,4,2,0,5,5,1
44,Maharashtra,JALGAON,"NRUSINGH HOSPITAL
CHOPDA","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18229,30,20,10,20,20,4,1,5,105,1
45,Maharashtra,JALGAON,"Sahyog Critical Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21758,7,4,3,7,7,4,1,10,10,1
46,Maharashtra,JALGAON,Divisional Railway Hospital,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",25118,64,53,11,53,6,5,1,0,0,1
47,Maharashtra,JALGAON,VIGNAHARTA HOSPITAL PACHORA,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,18228,96,30,66,20,24,4,1,27,220,1
48,Maharashtra,JALGAON,"Nilkamal Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21756,24,12,12,6,6,2,1,5,5,1
49,Maharashtra,JALGAON,RAILWAY HOSPITAL BHUSAWAL,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,18226,76,20,56,4,4,4,1,6,95,1
50,Maharashtra,JALGAON,"Vardhaman Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21755,26,13,13,6,6,2,0,5,5,1
51,Maharashtra,JALGAON,"GM FOUNDATION
JAMNER","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18224,66,30,36,34,34,34,1,5,100,1
52,Maharashtra,JALGAON,"Ashwini Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21754,24,12,12,10,6,2,1,5,5,1
53,Maharashtra,JALGAON,"INDOAMERICAN
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18223,95,20,75,5,5,2,1,5,100,1
54,Maharashtra,JALGAON,"Rote Critical Care Hospital, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21753,20,10,10,10,5,2,1,5,5,1
55,Maharashtra,JALGAON,"DR. U. PATIL
MEDICAL COLLEGE
HOSPITAL",Cat. I - Dedicated COVID Hospitals / DCH,"Private
Medical
College",15666,80,30,50,20,20,20,1,6,115,1
56,Maharashtra,JALGAON,GANPATI HOSPITALJALGAON,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,18221,90,20,70,10,10,4,1,7,120,1
57,Maharashtra,JALGAON,"Pulse Critical Care, Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21752,20,10,10,10,5,2,0,5,5,1
58,Maharashtra,JALGAON,"ORCHID HOSPITAL
JALGAON","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18220,80,20,60,20,20,4,1,6,100,1
59,Maharashtra,JALGAON,"Apex Asian Hospital Jalgaon Corporation, Jalgaon",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21751,24,12,12,10,6,2,1,5,5,1
60,Maharashtra,JALGAON,"SANJEEVAN HEART
CARE HOSPITAL, JALGAON",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,21525,42,8,34,8,8,2,1,5,10,1
61,Maharashtra,JALNA,Vivekanand Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",14848,90,60,30,40,10,3,1,10,120,1
62,Maharashtra,JALNA,"Annex building D.H.
JALNA","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",14840,280,260,20,20,20,3,1,13280,7927,1
63,Maharashtra,JALNA,COVID-19 HOSPITAL DH JALNA,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,11382,120,72,48,120,40,35,1,197,15175,1
64,Maharashtra,KOLHAPUR,"Rajshree Shahu Goverment Medical college ,Kolhapur",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,17533,500,280,220,31,34,38,1,900,1857,1
65,Maharashtra,KOLHAPUR,D Y Patil Hospital kolhapur,Cat. I - Dedicated COVID Hospitals / DCH,"Private
Medical College",11208,110,20,90,10,10,2,1,2055,1145,1
66,Maharashtra,LATUR,"General Hospital
Udgir","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",14929,40,20,20,25,10,5,1,1476,5002,1
67,Maharashtra,LATUR,"Vivekanand Cardiac & Superspeciality
Hospital",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,15158,85,40,45,25,15,5,1,20,20,1
68,Maharashtra,LATUR,MIMSR Medical College Latur,Cat. I - Dedicated COVID Hospitals / DCH,"Private
Medical College",15132,306,153,153,50,50,5,1,10,50,1
69,Maharashtra,LATUR,"VILASRAO
DESHMUKH GOVERNMENT INSTITUTE OF MEDICAL SCIENCES,
LATUR",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,15109,230,110,120,300,70,8,1,1825,13070,1
70,Maharashtra,LATUR,"Latur Super Sepciality
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15891,65,35,30,10,10,5,1,10,20,1
71,Maharashtra,MUMBAI,MCGM Test Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",25831,10,10,0,0,0,0,1,0,0,1
72,Maharashtra,MUMBAI,"Seven Hill Reliance
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",14650,78,78,0,0,12,9,1,179,1000,1
73,Maharashtra,MUMBAI,"INHS ASHWINI
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",23858,4,4,0,4,0,0,1,100,100,1
74,Maharashtra,MUMBAI,Global Hospitals,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",13457,16,16,0,12,16,4,1,999,136,1
75,Maharashtra,MUMBAI,BHATIA HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",22592,38,22,16,38,1,1,1,100,100,1
76,Maharashtra,MUMBAI,"SANJEEVANI
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",25695,40,30,10,30,5,2,1,150,100,1
77,Maharashtra,MUMBAI,JAGJIVAN RAM HOSPITAL,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",17414,329,154,175,154,32,8,1,100,100,1
78,Maharashtra,MUMBAI,"Kasturba Hospital
Mumbai","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",14649,115,97,18,115,10,10,1,8979,2500,1
79,Maharashtra,MUMBAI,"SUSHRUSHA
HOSPITAL Vikhroli","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23753,40,40,0,40,0,0,1,100,100,1
80,Maharashtra,MUMBAI,"H N RELIANCE
FOUNDATION","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",22579,2,2,0,0,0,0,1,100,100,1
81,Maharashtra,MUMBAI,Hinduhridaysamrat Balasaheb Thackeray Trauma Hospital Jogeshwari W,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,15201,185,160,25,100,25,20,1,2720,500,1
82,Maharashtra,MUMBAI,P. D. Hinduja,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16843,12,12,0,12,4,4,1,400,652,1
83,Maharashtra,MUMBAI,G.T. Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",14622,115,95,20,46,10,7,1,10,1305,1
84,Maharashtra,MUMBAI,SRV HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23750,27,15,12,27,7,3,1,200,100,1
85,Maharashtra,MUMBAI,"Fortis hospital
mumbai","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16315,26,18,8,26,14,5,1,100,152,1
86,Maharashtra,MUMBAI,"Saint George
Hospital, Mumbai","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",14621,155,115,40,155,25,25,1,40,450,1
87,Maharashtra,MUMBAI,APEX HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23738,25,25,0,20,0,2,1,1000,100,1
88,Maharashtra,MUMBAI,K. J. Somaiya,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16314,93,86,7,93,30,7,1,2597,5299,1
89,Maharashtra,MUMBAI,"KOKILABEN
DHIRUBHAI AMBANI HOSPITAL",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,23730,11,11,0,0,13,4,1,200,100,1
90,Maharashtra,MUMBAI,"Dr.L.H.Hiranandani
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16313,55,50,5,55,8,2,1,400,600,1
91,Maharashtra,MUMBAI,"R. N. COOPER
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",23719,128,64,64,55,0,0,1,4027,7645,1
92,Maharashtra,MUMBAI,"BKC Jumbo Facility -
HE","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",24866,900,900,0,200,100,30,1,0,0,1
93,Maharashtra,MUMBAI,"Nanavati Super
Speciality Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16310,90,90,0,90,20,9,1,6612,659,1
94,Maharashtra,MUMBAI,nair hospital,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",11705,790,701,89,701,110,18,1,800,1900,1
95,Maharashtra,MUMBAI,"HOLY FAMILY
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23681,6,6,0,0,2,0,1,175,100,1
96,Maharashtra,MUMBAI,Saifee Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16302,74,69,5,74,26,10,1,355,500,1
97,Maharashtra,MUMBAI,kem hospital,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",11704,329,259,70,220,84,54,1,3800,238,1
98,Maharashtra,MUMBAI,"Mulund Jumbo
Facility - T","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",24856,900,900,0,200,100,30,1,0,0,1
99,Maharashtra,MUMBAI,KOHI0OR HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23876,3,3,0,0,0,0,1,1000,800,1
100,Maharashtra,MUMBAI,APEX HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",26962,15,15,0,10,0,4,1,50,50,1
101,Maharashtra,MUMBAI,"Lilavati Hospital and Research Centre,",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,13865,86,70,16,0,6,6,1,1150,2900,1
102,Maharashtra,MUMBAI,"S. L. RAHEJA
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23641,53,53,0,53,7,2,1,1269,100,1
103,Maharashtra,MUMBAI,Breach candy,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",16294,34,22,12,34,8,4,1,680,250,1
104,Maharashtra,MUMBAI,sion hospital,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",11703,455,455,0,266,30,17,1,100,751,1
105,Maharashtra,MUMBAI,"Race Course Jumbo
Facility - GS","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",24853,900,100,800,200,100,30,1,0,0,1
106,Maharashtra,MUMBAI,"APEX SUPER
SPECIALITY","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23868,27,27,0,20,0,2,1,1000,100,1
107,Maharashtra,MUMBAI,LIFELINE MEDICARE,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",26961,14,14,0,0,0,0,1,100,100,1
108,Maharashtra,MUMBAI,Wockhardt Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",13554,60,60,0,60,33,8,1,500,400,1
109,Maharashtra,MUMBAI,"TATA MEMORIAL
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",23610,81,81,0,81,6,6,1,100,100,1
110,Maharashtra,MUMBAI,"GALAXY
MULTISPECIALTY HOSPITAL",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,25928,23,23,0,23,5,1,1,100,100,1
111,Maharashtra,MUMBAI,Jaslok Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",13540,30,22,8,30,8,5,1,1500,560,1
112,Maharashtra,MUMBAI,MASINA HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",23589,51,51,0,51,0,0,1,100,100,1
113,Maharashtra,MUMBAI,"PRINCE ALY KHAN
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",25536,24,24,0,24,8,8,1,3000,3000,1
114,Maharashtra,"MUMBAI
SUBURBAN","Dahisar Jumbo
Facility - T","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",24859,900,100,800,200,100,30,1,0,0,1
115,Maharashtra,"MUMBAI
SUBURBAN","NESCO Facility - P
South","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",24844,1800,1800,0,400,200,60,0,0,0,1
116,Maharashtra,"MUMBAI
SUBURBAN",MCGM SEVEN HILLS,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",23865,936,936,0,788,68,60,1,5000,100,1
117,Maharashtra,NAGPUR,MH,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",16217,80,36,44,36,15,5,0,0,0,1
118,Maharashtra,NAGPUR,AIIMS,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",16083,64,0,64,24,5,2,0,0,0,1
119,Maharashtra,NAGPUR,GMC Nagpur,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",14541,450,420,30,450,60,40,1,14114,19036,1
120,Maharashtra,NAGPUR,IGGMC,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",14834,440,100,340,440,160,20,1,10463,17569,1
